model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBM_BAG_L1_FULL,0.9215744303048239,,roc_auc,0.00736689567565918,,0.288158655166626,0.00736689567565918,,0.288158655166626,1,True,14
RandomForestEntr_BAG_L1_FULL,0.9177271382065699,,roc_auc,0.06838703155517578,0.12853193283081055,0.5632338523864746,0.06838703155517578,0.12853193283081055,0.5632338523864746,1,True,16
RandomForestEntr_BAG_L1,0.9177271382065699,0.9153843303858125,roc_auc,0.06979250907897949,0.12853193283081055,0.5632338523864746,0.06979250907897949,0.12853193283081055,0.5632338523864746,1,True,4
WeightedEnsemble_L2_FULL,0.916444707507152,,roc_auc,0.28941965103149414,,5.864344596862793,0.004071474075317383,,0.1171579360961914,2,True,24
CatBoost_BAG_L1_FULL,0.9108217421327809,,roc_auc,0.009892702102661133,,0.43335676193237305,0.009892702102661133,,0.43335676193237305,1,True,17
XGBoost_BAG_L1_FULL,0.9004636480220972,,roc_auc,0.012186765670776367,,0.06190991401672363,0.012186765670776367,,0.06190991401672363,1,True,21
RandomForestGini_BAG_L1_FULL,0.8941994672980171,,roc_auc,0.06867718696594238,0.1284022331237793,0.6896703243255615,0.06867718696594238,0.1284022331237793,0.6896703243255615,1,True,15
RandomForestGini_BAG_L1,0.8941994672980171,0.9052357605098057,roc_auc,0.07255315780639648,0.1284022331237793,0.6896703243255615,0.07255315780639648,0.1284022331237793,0.6896703243255615,1,True,3
ExtraTreesGini_BAG_L1_FULL,0.8937555489789879,,roc_auc,0.061897993087768555,0.13259673118591309,0.5909695625305176,0.061897993087768555,0.13259673118591309,0.5909695625305176,1,True,18
ExtraTreesGini_BAG_L1,0.8937555489789879,0.8982364274070049,roc_auc,0.07216954231262207,0.13259673118591309,0.5909695625305176,0.07216954231262207,0.13259673118591309,0.5909695625305176,1,True,6
LightGBMXT_BAG_L1_FULL,0.8906974450034527,,roc_auc,0.008655309677124023,,0.4775111675262451,0.008655309677124023,,0.4775111675262451,1,True,13
ExtraTreesEntr_BAG_L1,0.8824109697149057,0.8948618040804228,roc_auc,0.0628659725189209,0.13209176063537598,0.5636200904846191,0.0628659725189209,0.13209176063537598,0.5636200904846191,1,True,7
ExtraTreesEntr_BAG_L1_FULL,0.8824109697149057,,roc_auc,0.07226991653442383,0.13209176063537598,0.5636200904846191,0.07226991653442383,0.13209176063537598,0.5636200904846191,1,True,19
LightGBMLarge_BAG_L1_FULL,0.8700799052974253,,roc_auc,0.010712623596191406,,0.41979217529296875,0.010712623596191406,,0.41979217529296875,1,True,23
NeuralNetTorch_BAG_L1_FULL,0.8188813258360461,,roc_auc,0.021365642547607422,,1.6384878158569336,0.021365642547607422,,1.6384878158569336,1,True,22
NeuralNetFastAI_BAG_L1_FULL,0.7741935483870968,,roc_auc,0.026918649673461914,,1.0038886070251465,0.026918649673461914,,1.0038886070251465,1,True,20
WeightedEnsemble_L2,,0.9285185002222991,roc_auc,,0.9964830875396729,35.400887966156006,,0.0007712841033935547,0.1171579360961914,2,False,12
LightGBMXT_BAG_L1,,0.9196635874129329,roc_auc,,0.06690454483032227,0.8281161785125732,,0.06690454483032227,0.8281161785125732,1,False,1
CatBoost_BAG_L1,,0.9150508817862966,roc_auc,,0.08065676689147949,13.677300453186035,,0.08065676689147949,13.677300453186035,1,False,5
LightGBM_BAG_L1,,0.9099596156696143,roc_auc,,0.05678248405456543,0.8007640838623047,,0.05678248405456543,0.8007640838623047,1,False,2
XGBoost_BAG_L1,,0.9098731660327026,roc_auc,,0.08761215209960938,0.8079648017883301,,0.08761215209960938,0.8079648017883301,1,False,9
NeuralNetFastAI_BAG_L1,,0.8833485649360273,roc_auc,,0.15462231636047363,7.267208814620972,,0.15462231636047363,7.267208814620972,1,False,8
LightGBMLarge_BAG_L1,,0.8777169885886479,roc_auc,,0.06075167655944824,1.3937170505523682,,0.06075167655944824,1.3937170505523682,1,False,11
NeuralNetTorch_BAG_L1,,0.856178679049548,roc_auc,,0.15960264205932617,10.058501958847046,,0.15960264205932617,10.058501958847046,1,False,10
